<hgeokg/resource/266170757>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041026>
<hgeokg/resource/86121621>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/3679396691>
<hgeokg/resource/5341456858>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/226041025>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266170825>
<hgeokg/resource/569345544>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/4316345593>
<hgeokg/resource/525729008>	<hgeokg/schema/wikipedia>	wikipedia-en:42nd Street (Manhattan)
<hgeokg/resource/4757137104>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/194926851>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/719086615>
<hgeokg/resource/266170545>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/6133822485>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/5671182>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266149338>
<hgeokg/resource/266149325>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149334>
<hgeokg/resource/813741990>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/4447034701>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/4755575515>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170756>
<hgeokg/resource/2716231115>	<http://www.w3.org/2000/01/rdf-schema#label>	Dallas BBQ
<hgeokg/resource/7172247185>	<hgeokg/schema/cuisine>	cuisine-burger;irish;american
<hgeokg/resource/163629929>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/682360553>
<hgeokg/resource/266149299>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/7172247185>	<http://www.w3.org/2000/01/rdf-schema#label>	Pig n 'Whistle
<hgeokg/resource/3576199>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/167922072>
<hgeokg/resource/569345543>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/1426275725>
<hgeokg/resource/266149328>	<http://www.w3.org/2000/01/rdf-schema#label>	Majestic Theatre
<hgeokg/resource/226041026>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/397795464>
<hgeokg/resource/1426250385>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/817036020>
<hgeokg/resource/643414350>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/702540318>
<hgeokg/resource/266149298>	<Point_pois-Intersect-Point_pois>	<hgeokg/resource/266149302>
<hgeokg/resource/266170765>	<hgeokg/schema/website>	website-https://www.themusehotel.com
<hgeokg/resource/397795464>	<http://www.w3.org/2000/01/rdf-schema#label>	7th Avenue
<hgeokg/resource/2717293824>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/813741990>
<hgeokg/resource/2716231269>	<http://www.w3.org/2000/01/rdf-schema#label>	Target
<hgeokg/resource/157835453>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/2774949518>
<hgeokg/resource/266149324>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/194926851>
<hgeokg/resource/266774911>	<hgeokg/schema/buildingMaterial>	buildingMaterial-metal
<hgeokg/resource/823979089>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/477374247>
<hgeokg/resource/86121620>	<Line_railway-Intersect-Polygon_buildings>	<hgeokg/resource/46695596>
<hgeokg/resource/2774949518>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:Disney Store
<hgeokg/resource/6501259685>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170825>
<hgeokg/resource/163629929>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/1426276157>
<hgeokg/resource/2774949518>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170755>
<hgeokg/resource/266170825>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/3679394774>
<hgeokg/resource/397795464>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/266034047>
<hgeokg/resource/643414350>	<hgeokg/schema/brand>	brand-Hard Rock Cafe
<hgeokg/resource/258646143>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/5825512054>
<hgeokg/resource/7006780985>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1899033652>
<hgeokg/resource/2610440256>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/569345544>
<hgeokg/resource/266170534>	<hgeokg/schema/addrHousenumber>	addrHousenumber-1177
<hgeokg/resource/2611782753>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170758>
<hgeokg/resource/823979089>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/226041026>
<hgeokg/resource/819186608>	<Line_railway-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/525729008>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/4708892893>
<hgeokg/resource/163474780>	<http://www.w3.org/2000/01/rdf-schema#label>	New York Marriott Marquis
